Frecuencia,Glifo Poli Cu D 0.1v2,Glifo Poli Cu D 0.08v2,Glifo Poli Cu D 0.04v2,Glifo Poli Cu D 0.02v2,Glifo Poli Cu D 0.01v2,Poli Cu D Agua V2,KCl Poli Cu D 0.1v2,KCl Poli Cu D 0.08v2,KCl Poli Cu D 0.04v2,KCl Poli Cu D 0.02v2,KCl Poli Cu D 0.01v2
1.64E+08,-5.52499,-5.09969,-3.08076,-1.76307,-1.08537,-0.09738,-6.65004,-5.8068,-3.38071,-1.82438,-0.98071
1.66E+08,-5.47987,-5.05062,-3.05534,-1.74126,-1.07145,-0.09061,-6.59916,-5.7611,-3.35726,-1.81043,-0.97721
1.67E+08,-5.44002,-5.018,-3.03249,-1.74023,-1.07382,-0.10107,-6.54711,-5.71073,-3.32518,-1.79819,-0.96861
1.68E+08,-5.39745,-4.97788,-3.01032,-1.72423,-1.0609,-0.09757,-6.49845,-5.66896,-3.30357,-1.78882,-0.96673
1.70E+08,-5.36176,-4.94562,-2.99337,-1.7168,-1.06197,-0.10629,-6.44965,-5.62573,-3.27999,-1.77611,-0.96186
1.71E+08,-5.30919,-4.90192,-2.96434,-1.69964,-1.05271,-0.10313,-6.38866,-5.57586,-3.25299,-1.75907,-0.9522
1.73E+08,-5.27308,-4.86371,-2.94097,-1.68727,-1.04199,-0.10156,-6.35085,-5.53869,-3.23207,-1.75054,-0.95221
1.74E+08,-5.23955,-4.82964,-2.92634,-1.68489,-1.04646,-0.11179,-6.29872,-5.49542,-3.20654,-1.73689,-0.94511
1.75E+08,-5.19308,-4.78978,-2.89879,-1.66777,-1.03259,-0.10942,-6.24803,-5.45133,-3.18085,-1.72438,-0.93929
1.77E+08,-5.15275,-4.75316,-2.87277,-1.65222,-1.02449,-0.10781,-6.19299,-5.40233,-3.15178,-1.71067,-0.9299
1.78E+08,-5.10967,-4.71764,-2.85304,-1.64281,-1.01999,-0.11008,-6.14611,-5.3629,-3.12913,-1.69892,-0.92346
1.80E+08,-5.0796,-4.68546,-2.8315,-1.63304,-1.01339,-0.10967,-6.1065,-5.32362,-3.10774,-1.68931,-0.92014
1.81E+08,-5.0361,-4.64391,-2.81478,-1.61961,-1.006,-0.1119,-6.05863,-5.27738,-3.07972,-1.66969,-0.90941
1.82E+08,-4.99646,-4.60775,-2.78685,-1.60593,-0.996,-0.11065,-6.01102,-5.24137,-3.06494,-1.66352,-0.91103
1.84E+08,-4.96068,-4.57221,-2.77071,-1.60065,-0.99649,-0.11651,-5.96723,-5.19915,-3.03994,-1.652,-0.90514
1.85E+08,-4.92187,-4.53599,-2.74617,-1.58381,-0.98416,-0.11321,-5.91934,-5.15955,-3.01397,-1.63843,-0.89851
1.87E+08,-4.88291,-4.50117,-2.72554,-1.57396,-0.97815,-0.11242,-5.87669,-5.12155,-2.9914,-1.6285,-0.89258
1.88E+08,-4.8512,-4.47414,-2.7078,-1.56771,-0.97965,-0.11826,-5.8272,-5.07955,-2.96748,-1.61629,-0.88768
1.89E+08,-4.81175,-4.44216,-2.6914,-1.56061,-0.97531,-0.1212,-5.78115,-5.03582,-2.93946,-1.59868,-0.87475
1.91E+08,-4.77874,-4.40544,-2.66771,-1.54506,-0.96278,-0.11903,-5.73714,-4.99445,-2.91858,-1.58664,-0.86907
1.92E+08,-4.74704,-4.37778,-2.65468,-1.54046,-0.96365,-0.12656,-5.70021,-4.96018,-2.89867,-1.57736,-0.86729
1.94E+08,-4.70927,-4.34154,-2.63061,-1.52572,-0.95301,-0.12522,-5.65735,-4.9225,-2.87776,-1.56713,-0.86181
1.95E+08,-4.66996,-4.30793,-2.60597,-1.51005,-0.94311,-0.12003,-5.61097,-4.88682,-2.85432,-1.55441,-0.85691
1.96E+08,-4.63535,-4.27557,-2.58372,-1.49867,-0.93509,-0.12058,-5.57394,-4.84515,-2.82994,-1.54336,-0.85012
1.98E+08,-4.59869,-4.24212,-2.56395,-1.48909,-0.92904,-0.12059,-5.53581,-4.81424,-2.81667,-1.53902,-0.84983
1.99E+08,-4.56705,-4.21505,-2.55025,-1.48095,-0.92749,-0.12149,-5.49633,-4.77736,-2.79528,-1.52458,-0.84074
2.01E+08,-4.53967,-4.18887,-2.52937,-1.47278,-0.92141,-0.12552,-5.44525,-4.73747,-2.76803,-1.51064,-0.83126
2.02E+08,-4.49532,-4.13747,-2.49791,-1.45264,-0.90501,-0.11346,-5.41014,-4.70234,-2.74915,-1.49836,-0.82789
2.03E+08,-4.4712,-4.12706,-2.49351,-1.45684,-0.91184,-0.12771,-5.37057,-4.66756,-2.72869,-1.49123,-0.82751
2.05E+08,-4.44096,-4.09684,-2.47857,-1.44777,-0.91168,-0.12927,-5.32829,-4.63182,-2.70302,-1.47352,-0.81642
2.06E+08,-4.40222,-4.06336,-2.45473,-1.43211,-0.89815,-0.12574,-5.29388,-4.59777,-2.68692,-1.46714,-0.81305
2.08E+08,-4.35592,-4.0205,-2.42423,-1.41202,-0.88047,-0.11405,-5.2583,-4.56768,-2.6687,-1.45889,-0.81055
2.09E+08,-4.34205,-4.00724,-2.41982,-1.41747,-0.8893,-0.13101,-5.21402,-4.53199,-2.64494,-1.4466,-0.80227
2.10E+08,-4.31494,-3.97877,-2.40536,-1.40721,-0.88633,-0.13548,-5.18959,-4.50759,-2.63838,-1.44784,-0.80712
2.12E+08,-4.28233,-3.94976,-2.38831,-1.39769,-0.87833,-0.13444,-5.15137,-4.46803,-2.61807,-1.433,-0.80261
2.13E+08,-4.2457,-3.91746,-2.36133,-1.37974,-0.86527,-0.12387,-5.11818,-4.44299,-2.60135,-1.42884,-0.79883
2.15E+08,-4.2171,-3.89745,-2.35042,-1.37883,-0.86925,-0.13303,-5.07602,-4.40573,-2.58305,-1.41749,-0.79469
2.16E+08,-4.19121,-3.86373,-2.33166,-1.3656,-0.86255,-0.13273,-5.04697,-4.38042,-2.5669,-1.40907,-0.79109
